Age,ContractDuration,MonthlySubscriptionCost,CustomerServiceInteractions,InternetUsage(GB),TotalAmountSpent,PaymentMethod,Churn
62,2,72.07656083898664,6,24.02998039315748,64.38689250532451,CreditCard,1
65,6,82.14869826916143,4,2.3637874267927295,490.9468287447451,BankTransfer,0
82,15,73.2076063976373,5,59.96575203074359,291.39368998150724,CreditCard,0
27,10,52.594528471935305,7,55.81368234428486,349.82128791042703,PayPal,0
39,22,62.04367501561042,4,52.72682145780806,148.22546718829273,BankTransfer,0
54,4,71.1934151263454,6,65.27104272012151,463.9751179298804,BankTransfer,0
30,31,24.655175230301765,4,36.73499513197878,499.27234409716465,BankTransfer,0
76,24,71.07136223087062,4,36.426424583512585,121.10557572184304,BankTransfer,1
83,18,95.41592853146086,8,96.91552467651584,328.84469492376724,CreditCard,0
57,11,83.38538512468554,7,6.26034659421687,182.73091399469627,PayPal,0
64,7,57.473398549416224,3,79.88882523847704,80.75537362619448,BankTransfer,1
55,7,92.71044781512312,6,70.18611806518614,201.17288348091137,PayPal,0
43,22,52.17124924713953,8,5.033052626483913,179.7138804924056,CreditCard,0
27,28,96.18526123559161,8,61.826378182320454,493.00062092372985,CreditCard,0
38,17,34.87679730191785,7,72.2805178004466,233.6444810356175,CreditCard,0
65,8,47.78609326790554,6,13.779337843078942,237.1802470581081,PayPal,0
82,15,48.573992456016704,1,57.21847454958803,197.51116768352097,BankTransfer,1
67,5,52.96148187169479,4,76.36779274321991,461.05249387766384,CreditCard,0
47,32,45.16192228085217,4,37.14302039954976,281.6321498805173,PayPal,0
37,9,63.88914110679609,2,98.65143438055908,276.52379525514675,PayPal,0
37,8,39.93923912095834,4,3.1825596837387837,488.3767448367332,PayPal,0
32,24,28.471816857103313,1,34.693110362568724,76.2950133814362,BankTransfer,0
57,4,98.77822965321535,8,99.96802016980402,179.72782514787872,BankTransfer,0
50,18,76.69167597784781,0,58.396924532854555,99.89476721693066,PayPal,0
83,28,68.13641829769361,1,45.83414065040002,104.21080142166386,PayPal,1
27,18,59.830504720316675,2,8.613242296959456,406.82472812978244,PayPal,0
75,34,49.246081296004014,6,33.45519013006746,296.438968853422,BankTransfer,0
50,20,50.28985339325538,5,74.12528240535768,85.56695063482434,CreditCard,0
49,32,31.124498097472994,4,71.00021485730066,111.8528516583107,CreditCard,0
41,23,66.3698827503768,7,5.774638880997118,483.6552473029462,CreditCard,0
53,4,37.56239324373886,6,63.68307099576538,71.50194577574979,BankTransfer,1
73,1,84.91716120343038,9,4.324933305478362,313.5036535915089,CreditCard,0
46,33,44.59514367395494,5,37.22893874530232,161.57788307009125,CreditCard,0
52,6,35.79195014906499,7,70.6430736143702,263.11785311036203,PayPal,0
18,8,37.59382114632725,1,74.89462937933821,269.40637005672795,BankTransfer,0
18,6,73.99287418067254,1,21.000588312794854,337.44898024215576,BankTransfer,0
54,16,65.87229852257276,5,22.733098851027155,309.6395138035103,BankTransfer,0
71,25,60.15903843100031,0,31.76751352230438,497.1112892077864,CreditCard,0
23,12,57.930140268544164,5,69.10061911846657,105.404757943276,CreditCard,0
56,1,58.840115993551585,1,93.26063707589228,440.06655356297625,PayPal,0
35,34,63.95568043459937,5,78.31474372544793,131.24171855459105,PayPal,0
22,35,86.51635174344885,8,44.61559869214066,363.07923949753564,CreditCard,0
60,33,48.53163505248398,4,77.24991294936011,136.5265772827825,BankTransfer,0
76,3,95.08435668122127,4,26.80613493085073,363.6104907721355,CreditCard,0
49,32,25.314920338028777,5,13.5744212236945,158.8736386659101,BankTransfer,0
19,17,94.42314818255323,5,70.70879150234248,125.48077665951797,BankTransfer,0
83,7,54.61699527922255,7,55.57851276063776,253.8957102647446,BankTransfer,0
59,11,75.33735485806929,0,26.938349301884102,295.23339167296746,CreditCard,0
75,23,87.15381625543475,3,64.1453061498989,89.31149268406398,CreditCard,1
53,15,20.553318345078093,0,74.87282421984273,86.64489893321102,CreditCard,0
29,4,60.65995211111158,3,56.80341972041485,430.45571619654555,PayPal,0
64,23,35.292556807866625,9,76.18344977547922,162.1498353488867,CreditCard,0
